,All,Long,Short
Initial capital,"10,000.00 USD",,
Open P&L,0.00 USD (0.00%),,
Net P&L,446.57 USD (4.47%),282.66 USD (2.83%),163.91 USD (1.64%)
Gross profit,616.39 USD (6.16%),371.44 USD (3.71%),244.95 USD (2.45%)
Gross loss,169.82 USD (1.70%),88.78 USD (0.89%),81.04 USD (0.81%)
Profit factor,3.630,4.184,3.023
Commission paid,0.00 USD,0.00 USD,0.00 USD
Expected payoff,31.90 USD,35.33 USD,27.32 USD
