,All,Long,Short
Initial capital,"10,000.00 USD",,
Open P&L,0.00 USD (0.00%),,
Net P&L,"3,106.55 USD (31.07%)",591.95 USD (5.92%),"2,514.60 USD (25.15%)"
Gross profit,"4,239.04 USD (42.39%)","1,421.94 USD (14.22%)","2,817.10 USD (28.17%)"
Gross loss,"1,132.49 USD (11.32%)",829.99 USD (8.30%),302.50 USD (3.02%)
Profit factor,3.743,1.713,9.313
Commission paid,0.00 USD,0.00 USD,0.00 USD
Expected payoff,86.29 USD,29.60 USD,157.16 USD
