,All,Long,Short
Initial capital,"10,000.00 USD",,
Open P&L,0.00 USD (0.00%),,
Net P&L,407.50 USD (4.08%),-46.36 USD (-0.46%),453.86 USD (4.54%)
Gross profit,525.33 USD (5.25%),6.46 USD (0.06%),518.87 USD (5.19%)
Gross loss,117.83 USD (1.18%),52.82 USD (0.53%),65.02 USD (0.65%)
Profit factor,4.458,0.122,7.981
Commission paid,0.00 USD,0.00 USD,0.00 USD
Expected payoff,58.21 USD,-23.18 USD,90.77 USD
