trade_id,pair,side,entry_time,exit_time,entry_price,exit_price,size_units,pnl_quote,pnl_usd,pnl_pct,cumulative_pnl_usd,cumulative_pnl_pct,entry_reason,exit_reason,entry_regime,exit_regime,bars_held,max_favorable_excursion_pct,max_adverse_excursion_pct,commission_paid_usd,signal_strength,equity_at_entry,strategy_scores,position_type
1,GBPUSD,Short,2020-02-04 04:00:00+00:00,2020-02-04 12:00:00+00:00,1.29451,1.3029274057366669,7724,-65.01604191001458,-65.01604191001458,-0.006501604191001458,-65.01604191001458,-0.006501604191001458,Channel Breakout Short,ATR Exit,volatility_spike,volatility_spike,2,0.0,-0.00782535476744094,0.0,-0.7576097807059352,10000.0,"{'trend': 0.12119510964703241, 'mean_reversion': 0.12119510964703241, 'breakout': 0.7576097807059352}",Short
2,GBPUSD,Long,2020-02-19 20:00:00+00:00,2020-02-20 08:00:00+00:00,1.29255,1.2856782756578164,7686,-52.81607329402345,-52.81607329402345,-0.005316170968853523,-117.83211520403802,-0.011783211520403802,Range Reversion Long,ATR Exit,range,volatility_spike,3,0.00020115276004791066,-0.005895323198329025,0.0,0.8213214233098244,9934.983958089986,"{'trend': 0.13239251917393693, 'mean_reversion': 0.8213214233098244, 'breakout': 0.04628605751623866}",Long
3,GBPUSD,Long,2020-03-08 20:00:00+00:00,2020-03-09 08:00:00+00:00,1.3096,1.3104562396921173,7545,6.460328477024525,6.460328477024525,0.0006537359567594425,-111.3717867270135,-0.01113717867270135,Trend Bullish,Break-Even Stop,trend_up,volatility_spike,3,0.007964263897373198,-0.004718998167379409,0.0,0.9086343203641412,9882.167884795963,"{'trend': 0.9086343203641412, 'mean_reversion': 0.046064199070342794, 'breakout': 0.045301480565515986}",Long
4,GBPUSD,Short,2020-03-11 16:00:00+00:00,2020-03-13 12:00:00+00:00,1.28049,1.244165070279448,6805,247.1911467483557,247.1911467483557,0.024997516482272435,135.8193600213422,0.01358193600213422,Channel Breakout Short,ATR Take Profit,volatility_spike,volatility_spike,11,0.031683183781208754,-0.003420565564744786,0.0,-0.6345873229683531,9888.628213272987,"{'trend': 0.3006742882584744, 'mean_reversion': 0.06473838877317259, 'breakout': 0.6345873229683531}",Short
5,GBPUSD,Short,2020-03-13 12:00:00+00:00,2020-03-15 20:00:00+00:00,1.24058,1.2389221891760913,5558,9.214112559284558,9.214112559284558,0.0009090644014067312,145.03347258062675,0.014503347258062675,Channel Breakout Short,Break-Even Stop,volatility_spike,volatility_spike,3,0.011776749584871602,-0.0012574763417111398,0.0,-0.7794601026768637,10135.819360021342,"{'trend': 0.18155794815217588, 'mean_reversion': 0.03898194917096035, 'breakout': 0.7794601026768637}",Short
6,GBPUSD,Short,2020-03-16 16:00:00+00:00,2020-03-18 16:00:00+00:00,1.22591,1.172045611632802,4708,253.5935404327686,253.5935404327686,0.024996816532756216,398.62701301339536,0.03986270130133954,Trend Bearish,ATR Take Profit,trend_down,volatility_spike,12,0.06602442267376889,-0.0012398952614791998,0.0,-0.8533199340948999,10145.033472580626,"{'trend': 0.8533199340948999, 'mean_reversion': 0.030699640611240524, 'breakout': 0.1159804252938596}",Short
7,GBPUSD,Short,2020-05-13 12:00:00+00:00,2020-05-18 12:00:00+00:00,1.22241,1.2213667728654392,8506,8.873690006574526,8.873690006574526,0.0008533520815266781,407.5007030199699,0.04075007030199699,Channel Breakout Short,Break-Even Stop,volatility_spike,range,19,0.012238119779779358,-0.001480681604371765,0.0,-0.7800164688128044,10398.627013013396,"{'trend': 0.18204947161392726, 'mean_reversion': 0.03793405957326841, 'breakout': 0.7800164688128044}",Short
