,All,Long,Short
Initial capital,"10,000.00 USD",,
Open P&L,0.00 USD (0.00%),,
Net P&L,-209.15 USD (-2.09%),-38.03 USD (-0.38%),-171.12 USD (-1.71%)
Gross profit,148.79 USD (1.49%),110.00 USD (1.10%),38.79 USD (0.39%)
Gross loss,357.94 USD (3.58%),148.03 USD (1.48%),209.91 USD (2.10%)
Profit factor,0.416,0.743,0.185
Commission paid,0.00 USD,0.00 USD,0.00 USD
Expected payoff,-11.62 USD,-4.75 USD,-17.11 USD
