,All,Long,Short
Total trades,16,4,12
Total open trades,0,0,0
Winning trades,9,2,7
Losing trades,7,2,5
Percent profitable,56.25%,50.00%,58.33%
Avg P&L,-16.43 USD (-0.17%),-10.59 USD (-0.11%),-18.38 USD (-0.18%)
Avg winning trade,14.42 USD (0.15%),33.83 USD (0.34%),8.88 USD (0.09%)
Avg losing trade,-56.09 USD (-0.57%),-55.01 USD (-0.56%),-56.53 USD (-0.57%)
Ratio avg win / avg loss,0.257,0.615,0.157
Largest winning trade,65.64 USD (0.66%),65.64 USD (0.66%),42.44 USD (0.43%)
Largest losing trade,-74.77 USD (-0.76%),-60.94 USD (-0.62%),-74.77 USD (-0.76%)
Average number of bars in trades,15.19,17.75,14.33
