regime,trade_count,win_rate,net_pnl_usd,avg_pnl_pct,avg_bars_held
range,5,0.6,-36.00813485476174,-0.0007338652534249793,9.2
trend_down,2,0.5,-35.184949144313144,-0.0017586194816845,10.5
trend_up,1,1.0,2.0249552094644674,0.00020366913997790125,20.0
volatility_spike,8,0.5,-193.69485525779174,-0.002438216670012721,19.5
