,All,Long,Short
Initial capital,"10,000.00 USD",,
Open P&L,0.00 USD (0.00%),,
Net P&L,-262.86 USD (-2.63%),-42.35 USD (-0.42%),-220.51 USD (-2.21%)
Gross profit,129.80 USD (1.30%),67.67 USD (0.68%),62.13 USD (0.62%)
Gross loss,392.66 USD (3.93%),110.02 USD (1.10%),282.65 USD (2.83%)
Profit factor,0.331,0.615,0.220
Commission paid,0.00 USD,0.00 USD,0.00 USD
Expected payoff,-16.43 USD,-10.59 USD,-18.38 USD
