timestamp,equity,realized_pnl_usd,unrealized_pnl_usd,position_side,regime,close,quote_to_usd
2024-01-18 20:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.27109,1.0
2024-01-19 00:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.27127,1.0
2024-01-19 04:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.26856,1.0
2024-01-19 08:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.26809,1.0
2024-01-19 12:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.26794,1.0
2024-01-19 16:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.26963,1.0
2024-01-19 20:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.2702,1.0
2024-01-21 20:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.26992,1.0
2024-01-22 00:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.27123,1.0
2024-01-22 04:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.27031,1.0
2024-01-22 08:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.27137,1.0
2024-01-22 12:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.27197,1.0
2024-01-22 16:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.27044,1.0
2024-01-22 20:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.27057,1.0
2024-01-23 00:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.27242,1.0
2024-01-23 04:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.27421,1.0
2024-01-23 08:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.27061,1.0
2024-01-23 12:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.26653,1.0
2024-01-23 16:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.26801,1.0
2024-01-23 20:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.26907,1.0
2024-01-24 00:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.26961,1.0
2024-01-24 04:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.27041,1.0
2024-01-24 08:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.274,1.0
2024-01-24 12:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.27524,1.0
2024-01-24 16:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.27251,1.0
2024-01-24 20:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.27173,1.0
2024-01-25 00:00:00+00:00,10000.0,0.0,0.0,Flat,range,1.27126,1.0
