,All,Long,Short
Initial capital,"10,000.00 USD",,
Open P&L,0.00 USD (0.00%),,
Net P&L,"1,096.26 USD (10.96%)","1,113.83 USD (11.14%)",-17.56 USD (-0.18%)
Gross profit,"3,862.48 USD (38.62%)","2,190.97 USD (21.91%)","1,671.52 USD (16.72%)"
Gross loss,"2,766.22 USD (27.66%)","1,077.14 USD (10.77%)","1,689.08 USD (16.89%)"
Profit factor,1.396,2.034,0.990
Commission paid,0.00 USD,0.00 USD,0.00 USD
Expected payoff,7.31 USD,16.62 USD,-0.21 USD
