,All,Long,Short
Total trades,150,67,83
Total open trades,0,0,0
Winning trades,84,43,41
Losing trades,66,24,42
Percent profitable,56.00%,64.18%,49.40%
Avg P&L,7.31 USD (0.07%),16.62 USD (0.16%),-0.21 USD (0.00%)
Avg winning trade,45.98 USD (0.43%),50.95 USD (0.48%),40.77 USD (0.38%)
Avg losing trade,-41.91 USD (-0.39%),-44.88 USD (-0.42%),-40.22 USD (-0.37%)
Ratio avg win / avg loss,1.097,1.135,1.014
Largest winning trade,310.51 USD (2.83%),310.51 USD (2.83%),281.67 USD (2.62%)
Largest losing trade,-88.78 USD (-0.84%),-88.78 USD (-0.84%),-79.29 USD (-0.69%)
Average number of bars in trades,11.25,11.37,11.16
