timestamp,equity,realized_pnl_usd,unrealized_pnl_usd,position_side,regime,close,quote_to_usd
2018-01-18 20:00:00+00:00,10000.0,0.0,0.0,Flat,range,111.04,0.009005763688760807
2018-01-19 00:00:00+00:00,10000.0,0.0,0.0,Flat,range,110.834,0.009022502120287998
2018-01-19 04:00:00+00:00,10000.0,0.0,0.0,Flat,range,110.689,0.00903432138694902
2018-01-19 08:00:00+00:00,10000.0,0.0,0.0,Flat,range,110.709,0.009032689302586059
2018-01-19 12:00:00+00:00,10000.0,0.0,0.0,Flat,range,110.641,0.009038240796811307
2018-01-19 16:00:00+00:00,10000.0,0.0,0.0,Flat,range,110.591,0.00904232713331103
2018-01-19 20:00:00+00:00,10000.0,0.0,0.0,Flat,range,110.817,0.009023886226842453
2018-01-21 20:00:00+00:00,10000.0,0.0,0.0,Flat,range,110.687,0.009034484627824406
2018-01-22 00:00:00+00:00,10000.0,0.0,0.0,Flat,range,110.787,0.009026329804038379
2018-01-22 04:00:00+00:00,10000.0,0.0,0.0,Flat,range,110.778,0.009027063135279567
2018-01-22 08:00:00+00:00,10000.0,0.0,0.0,Flat,range,110.726,0.00903130249444575
2018-01-22 12:00:00+00:00,10000.0,0.0,0.0,Flat,range,110.784,0.009026574234546504
2018-01-22 16:00:00+00:00,10000.0,0.0,0.0,Flat,range,110.983,0.009010388978492202
2018-01-22 20:00:00+00:00,10000.0,0.0,0.0,Flat,range,110.981,0.009010551355637452
2018-01-23 00:00:00+00:00,10000.0,0.0,0.0,Flat,range,110.752,0.00902918231724935
2018-01-23 04:00:00+00:00,10000.0,0.0,0.0,Flat,range,110.99,0.00900982070456798
2018-01-23 08:00:00+00:00,10000.0,0.0,0.0,Flat,range,110.494,0.009050265172769563
2018-01-23 12:00:00+00:00,10000.0,0.0,0.0,Flat,range,110.336,0.00906322505800464
2018-01-23 16:00:00+00:00,10000.0,0.0,0.0,Flat,range,110.304,0.009065854366115463
2018-01-23 20:00:00+00:00,10000.0,0.0,0.0,Flat,range,110.124,0.009080672696233338
2018-01-24 00:00:00+00:00,10000.0,0.0,0.0,Flat,range,109.956,0.00909454690967296
2018-01-24 04:00:00+00:00,10000.0,0.0,0.0,Flat,range,109.949,0.009095125922018391
2018-01-24 08:00:00+00:00,10000.0,0.0,0.0,Flat,range,109.539,0.009129168606614996
2018-01-24 12:00:00+00:00,10000.0,0.0,0.0,Flat,range,109.203,0.009157257584498594
2018-01-24 16:00:00+00:00,10000.0,0.0,0.0,Flat,range,109.049,0.009170189547817953
2018-01-24 20:00:00+00:00,10000.0,0.0,0.0,Flat,range,109.32,0.009147457006952069
2018-01-25 00:00:00+00:00,10000.0,0.0,0.0,Flat,volatility_spike,109.024,0.009172292339301438
2018-01-25 04:00:00+00:00,10000.0,0.0,0.0,Flat,volatility_spike,109.021,0.009172544739086965
2018-01-25 08:00:00+00:00,10000.0,0.0,0.0,Flat,volatility_spike,109.016,0.009172965436266235
2018-01-25 12:00:00+00:00,10000.0,0.0,0.0,Short,volatility_spike,108.695,0.009200055200331203
2018-01-25 16:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,volatility_spike,109.412,0.00913976529082733
2018-01-25 20:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,volatility_spike,109.671,0.009118180740578638
2018-01-26 00:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,volatility_spike,109.377,0.00914268996224069
2018-01-26 04:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,volatility_spike,109.035,0.009171366992250195
2018-01-26 08:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,volatility_spike,109.381,0.00914235561934888
2018-01-26 12:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,volatility_spike,108.596,0.009208442299900548
2018-01-26 16:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,volatility_spike,108.679,0.009201409655959293
2018-01-26 20:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,volatility_spike,108.606,0.009207594423880817
2018-01-28 20:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,volatility_spike,108.606,0.009207594423880817
2018-01-29 00:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,108.708,0.009198954998712146
2018-01-29 04:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,108.94,0.009179364787956673
2018-01-29 08:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,108.701,0.009199547382268794
2018-01-29 12:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,109.018,0.009172797152763763
2018-01-29 16:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,108.945,0.009178943503602736
2018-01-29 20:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,108.943,0.009179112012703891
2018-01-30 00:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,108.799,0.009191260949089605
2018-01-30 04:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,108.751,0.00919531774420465
2018-01-30 08:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,108.608,0.009207424867413081
2018-01-30 12:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,108.819,0.009189571674064272
2018-01-30 16:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,108.77,0.009193711501333088
2018-01-30 20:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,108.741,0.009196163360645939
2018-01-31 00:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,108.881,0.009184338865366777
2018-01-31 04:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,108.692,0.009200309130386781
2018-01-31 08:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,108.771,0.009193626977779003
2018-01-31 12:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,109.172,0.009159857839006339
2018-01-31 16:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,109.095,0.009166322929556808
2018-01-31 20:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,109.194,0.009158012345000641
2018-02-01 00:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,109.339,0.009145867439797327
2018-02-01 04:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,109.592,0.009124753631651945
2018-02-01 08:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,109.681,0.009117349404181217
2018-02-01 12:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,109.374,0.009142940735458153
2018-02-01 16:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,109.41,0.009139932364500503
2018-02-01 20:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,109.397,0.00914101849228041
2018-02-02 00:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,109.525,0.009130335539831088
2018-02-02 04:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,109.775,0.009109542245502164
2018-02-02 08:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,109.869,0.009101748445876454
2018-02-02 12:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,110.385,0.009059201884313991
2018-02-02 16:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,110.26,0.009069472156720479
2018-02-02 20:00:00+00:00,9948.365815998064,-51.63418400193616,0.0,Flat,range,110.137,0.009079600860746162
