trade_id,pair,side,entry_time,exit_time,entry_price,exit_price,size_units,pnl_quote,pnl_usd,pnl_pct,cumulative_pnl_usd,cumulative_pnl_pct,entry_reason,exit_reason,entry_regime,exit_regime,bars_held,max_favorable_excursion_pct,max_adverse_excursion_pct,commission_paid_usd,signal_strength,equity_at_entry,strategy_scores,position_type
1,USDJPY,Short,2018-01-25 12:00:00+00:00,2018-01-25 16:00:00+00:00,108.695,109.25993993400198,10000,-5649.399340019841,-51.63418400193616,-0.0051634184001936164,-51.63418400193616,-0.0051634184001936164,Channel Breakout Short,ATR Exit,volatility_spike,volatility_spike,1,0.0018032108192648968,-0.009246055476332948,0.0,-0.7439937206260587,10000.0,"{'trend': 0.12800313968697066, 'mean_reversion': 0.12800313968697066, 'breakout': 0.7439937206260587}",Short
2,USDJPY,Short,2018-03-05 00:00:00+00:00,2018-03-05 16:00:00+00:00,105.55,106.06642076215485,9948,-5137.353741916461,-48.372962552060315,-0.00486240287568349,-100.00714655399648,-0.010000714655399649,Trend Bearish,ATR Exit,trend_down,range,4,0.0019043107531974742,-0.006508763619137827,0.0,-0.8358320865013118,9948.365815998064,"{'trend': 0.8358320865013118, 'mean_reversion': 0.12104439646615174, 'breakout': 0.0431235170325364}",Short
3,USDJPY,Short,2018-03-22 20:00:00+00:00,2018-03-26 20:00:00+00:00,104.958,105.4964926160963,9899,-5330.538406737334,-50.50488802631422,-0.005101507523688202,-150.51203458031068,-0.015051203458031069,Channel Breakout Short,ATR Exit,volatility_spike,range,13,0.0031250595476286034,-0.005592713275786537,0.0,-0.7176614256926824,9899.992853446003,"{'trend': 0.0743989303083159, 'mean_reversion': 0.20793964399900172, 'breakout': 0.7176614256926824}",Short
4,USDJPY,Long,2018-05-08 16:00:00+00:00,2018-05-11 12:00:00+00:00,109.124,109.17551306816243,9849,507.35220833182836,4.643318613753978,0.0004714274112579339,-145.8687159665567,-0.014586871596655669,Trend Bullish,Break-Even Stop,trend_up,range,17,0.008183351050181451,-0.0011821414171033933,0.0,0.7428985922548046,9849.487965419688,"{'trend': 0.7428985922548046, 'mean_reversion': 0.18954428162952747, 'breakout': 0.06755712611566791}",Long
5,USDJPY,Short,2018-05-23 08:00:00+00:00,2018-05-23 12:00:00+00:00,109.726,110.13740254039308,9854,-4053.9606330334486,-36.83878226408455,-0.0037384099320631223,-182.70749823064125,-0.018270749823064127,Channel Breakout Short,ATR Exit,volatility_spike,volatility_spike,1,0.0004830213440752171,-0.004119351840037896,0.0,-0.6531304200332373,9854.131284033443,"{'trend': 0.16354415690679475, 'mean_reversion': 0.183325423059968, 'breakout': 0.6531304200332373}",Short
6,USDJPY,Short,2018-05-24 00:00:00+00:00,2018-05-25 00:00:00+00:00,109.463,109.40135714474467,9817,605.1479100415623,5.522581472768577,0.0005625361036938899,-177.18491675787268,-0.01771849167578727,Channel Breakout Short,Break-Even Stop,volatility_spike,volatility_spike,6,0.004640837543279424,-0.00274978759946285,0.0,-0.6601094172539388,9817.29250176936,"{'trend': 0.16016078575058595, 'mean_reversion': 0.1797297969954753, 'breakout': 0.6601094172539388}",Short
7,USDJPY,Short,2018-05-29 04:00:00+00:00,2018-05-29 20:00:00+00:00,108.739,108.67872563034528,9822,592.0148587486674,5.461089411551642,0.0005559597086245005,-171.72382734632103,-0.0171723827346321,Trend Bearish,Break-Even Stop,trend_down,trend_down,4,0.0057752968116315225,-0.0033842503609560048,0.0,-0.7759994100337225,9822.815083242127,"{'trend': 0.7759994100337225, 'mean_reversion': 0.1379587945931682, 'breakout': 0.08604179537310933}",Short
8,USDJPY,Short,2018-05-29 20:00:00+00:00,2018-05-30 08:00:00+00:00,108.406,108.95113119631964,9828,-5357.549397429328,-49.16942206320911,-0.005002853114772938,-220.89324940953014,-0.022089324940953014,Trend Bearish,ATR Exit,trend_down,trend_down,3,0.00022138995996532395,-0.0052856852941718475,0.0,-0.8155592562723034,9828.27617265368,"{'trend': 0.8155592562723034, 'mean_reversion': 0.11355351064011429, 'breakout': 0.07088723308758227}",Short
9,USDJPY,Long,2018-06-04 20:00:00+00:00,2018-06-05 16:00:00+00:00,109.966,109.55436272167441,9779,-4025.4009447459007,-36.685266702627416,-0.003751392395876273,-257.57851611215756,-0.025757851611215757,Trend Bullish,ATR Exit,trend_up,range,5,0.00034556135532810974,-0.004492297619264134,0.0,0.8077340505077549,9779.10675059047,"{'trend': 0.8077340505077549, 'mean_reversion': 0.118348989453185, 'breakout': 0.0739169600390601}",Long
10,USDJPY,Short,2018-07-20 16:00:00+00:00,2018-07-23 16:00:00+00:00,111.506,111.4440824228926,9742,603.2010361802332,5.414002030069858,0.0005557142070914928,-252.1645140820877,-0.02521645140820877,Channel Breakout Short,Break-Even Stop,volatility_spike,trend_down,7,0.006779904220400698,-0.00033182070919956,0.0,-0.7187942669302275,9742.421483887843,"{'trend': 0.12369959607697147, 'mean_reversion': 0.15750613699280103, 'breakout': 0.7187942669302275}",Short
11,USDJPY,Short,2018-07-26 04:00:00+00:00,2018-07-26 12:00:00+00:00,110.697,111.10626655389119,9747,-3989.1211007773895,-35.87113311911472,-0.003679907521104095,-288.03564720120244,-0.028803564720120245,Trend Bearish,ATR Exit,trend_down,trend_down,2,0.00041554875019202397,-0.004616204594523751,0.0,-0.774270894842461,9747.835485917913,"{'trend': 0.774270894842461, 'mean_reversion': 0.12644001663953985, 'breakout': 0.09928908851799913}",Short
12,USDJPY,Short,2018-08-13 00:00:00+00:00,2018-08-13 08:00:00+00:00,110.202,110.66173059826771,9711,-4464.443839777745,-40.379185077989426,-0.004157674350025074,-328.41483227919184,-0.03284148322791918,Channel Breakout Short,ATR Exit,volatility_spike,volatility_spike,2,0.0008348305838369426,-0.004691384911344585,0.0,-0.7559867255941398,9711.964352798797,"{'trend': 0.10176969593622603, 'mean_reversion': 0.14224357846963412, 'breakout': 0.7559867255941398}",Short
13,USDJPY,Short,2018-08-29 16:00:00+00:00,2018-09-02 20:00:00+00:00,111.698,111.15943808418126,9671,5208.432287882962,46.86244107035946,0.004845373354800638,-281.5523912088324,-0.028155239120883236,Range Reversion Short,Trailing Stop Exit,range,range,14,0.009078049741266593,-0.0005013518594783398,0.0,-0.8199992753858497,9671.585167720808,"{'trend': 0.09003722715681331, 'mean_reversion': 0.8199992753858497, 'breakout': 0.08996349745733702}",Short
14,USDJPY,Short,2018-10-10 16:00:00+00:00,2018-10-11 08:00:00+00:00,112.427,112.368839835051,9718,565.2004829743928,5.033355148448164,0.0005179176089702911,-276.5190360603842,-0.027651903606038423,Channel Breakout Short,Break-Even Stop,volatility_spike,range,4,0.004064859864623336,-0.0006315208980049094,0.0,-0.6749723232316712,9718.447608791168,"{'trend': 0.09725078138917095, 'mean_reversion': 0.22777689537915788, 'breakout': 0.6749723232316712}",Short
15,USDJPY,Long,2018-11-27 08:00:00+00:00,2018-11-28 16:00:00+00:00,113.621,113.65657532812469,9723,345.8989153563932,3.0467353881881882,0.00031333792902842863,-273.472300672196,-0.0273472300672196,Trend Bullish,Break-Even Stop,trend_up,trend_up,8,0.003652493817164136,-0.0016018165655996882,0.0,0.7117697974426493,9723.480963939615,"{'trend': 0.7117697974426493, 'mean_reversion': 0.1937536963823933, 'breakout': 0.09447650617495734}",Long
16,USDJPY,Short,2018-12-06 12:00:00+00:00,2018-12-07 04:00:00+00:00,112.362,112.82899286180673,9726,-4541.9725739322585,-40.27678328203902,-0.004140921048816067,-313.74908395423506,-0.031374908395423506,Channel Breakout Short,ATR Exit,volatility_spike,range,4,0.0010679767181074593,-0.005028390381089798,0.0,-0.6932722729730532,9726.527699327804,"{'trend': 0.10042707094887399, 'mean_reversion': 0.2063006560780729, 'breakout': 0.6932722729730532}",Short
17,USDJPY,Short,2019-02-12 04:00:00+00:00,2019-02-13 16:00:00+00:00,110.616,110.91563441880609,9686,-2902.2589805558177,-26.148361868925846,-0.0026995338129853484,-339.8974458231609,-0.03398974458231609,Range Reversion Short,ATR Exit,range,range,9,0.0024589571128951107,-0.0034172271642438717,0.0,-0.8497939063661004,9686.250916045765,"{'trend': 0.07781721541179146, 'mean_reversion': 0.8497939063661004, 'breakout': 0.07238887822210817}",Short
18,USDJPY,Long,2019-03-01 00:00:00+00:00,2019-03-04 16:00:00+00:00,111.67,111.71856046247085,9660,469.0940674683702,4.19808544360453,0.00043457980078993674,-335.69936037955637,-0.03356993603795563,Channel Breakout Long,Break-Even Stop,volatility_spike,range,11,0.00364466732336345,-0.00026864869705382945,0.0,0.7401530186802205,9660.10255417684,"{'trend': 0.11460512297571636, 'mean_reversion': 0.1452418583440631, 'breakout': 0.7401530186802205}",Long
19,USDJPY,Long,2019-03-20 20:00:00+00:00,2019-03-21 08:00:00+00:00,110.663,110.3300272549597,9664,-3217.848608069403,-29.124228262776644,-0.0030135888098696884,-364.823588642333,-0.0364823588642333,Range Reversion Long,ATR Exit,range,range,3,0.0006596604104353533,-0.003298302052176381,0.0,0.8052787802603375,9664.300639620444,"{'trend': 0.09637340296054342, 'mean_reversion': 0.8052787802603375, 'breakout': 0.09834781677911907}",Long
20,USDJPY,Short,2019-03-22 12:00:00+00:00,2019-03-25 08:00:00+00:00,109.765,110.17598136925412,9635,-3959.805492763414,-35.94757834654273,-0.003730868726406375,-400.77116698887573,-0.040077116698887576,Channel Breakout Short,ATR Exit,volatility_spike,range,6,0.0005192912130460726,-0.004336537147542468,0.0,-0.8004378226880542,9635.176411357666,"{'trend': 0.10751102528312893, 'mean_reversion': 0.09205115202881688, 'breakout': 0.8004378226880542}",Short
21,USDJPY,Long,2019-05-03 20:00:00+00:00,2019-05-05 20:00:00+00:00,111.09,110.82281018859997,9599,-2564.7549996288876,-23.182130425533398,-0.002414999249295064,-423.9532974144091,-0.04239532974144091,Range Reversion Long,ATR Exit,range,range,1,0.0,-0.005049959492303601,0.0,0.7553068010478861,9599.228833011124,"{'trend': 0.12466435610175863, 'mean_reversion': 0.7553068010478861, 'breakout': 0.12002884285035535}",Long
22,USDJPY,Long,2019-05-29 04:00:00+00:00,2019-05-30 16:00:00+00:00,109.203,109.50186224660777,9576,2861.904873515992,26.12251954248466,0.002727902270509126,-397.83077787192445,-0.03978307778719244,Range Reversion Long,Trailing Stop Exit,range,range,9,0.006611539976007932,-0.00011904434859852961,0.0,0.7397858230281217,9576.04670258559,"{'trend': 0.13256012257351077, 'mean_reversion': 0.7397858230281217, 'breakout': 0.12765405439836755}",Long
23,USDJPY,Short,2019-06-03 16:00:00+00:00,2019-06-05 08:00:00+00:00,107.99,108.37939634917856,9602,-3738.983744812613,-34.515713947701066,-0.003594574637172614,-432.3464918196255,-0.04323464918196255,Channel Breakout Short,ATR Exit,volatility_spike,trend_down,10,0.0013427169182331329,-0.0036484859709232844,0.0,-0.7556819914030208,9602.169222128075,"{'trend': 0.12502419040947624, 'mean_reversion': 0.11929381818750288, 'breakout': 0.7556819914030208}",Short
24,USDJPY,Short,2019-07-25 20:00:00+00:00,2019-07-31 16:00:00+00:00,108.676,108.95995317337295,9567,-2716.5800096590137,-24.971779545704536,-0.002610021310277759,-457.31827136533,-0.045731827136533,Range Reversion Short,ATR Exit,range,range,24,0.002355625897162209,-0.0029537340351135297,0.0,-0.7763869895905766,9567.653508180374,"{'trend': 0.11669582137537339, 'mean_reversion': 0.7763869895905766, 'breakout': 0.10691718903405008}",Short
25,USDJPY,Short,2019-08-02 00:00:00+00:00,2019-08-06 00:00:00+00:00,107.045,106.26459381171473,9542,7446.63584861804,69.92211991303242,0.007327302942863274,-387.3961514522976,-0.03873961514522976,Channel Breakout Short,Trailing Stop Exit,volatility_spike,volatility_spike,13,0.01425568686066604,-0.002214022140221353,0.0,-0.7924360304805037,9542.68172863467,"{'trend': 0.11323884501218506, 'mean_reversion': 0.09432512450731129, 'breakout': 0.7924360304805037}",Short
26,USDJPY,Short,2019-08-09 12:00:00+00:00,2019-08-13 12:00:00+00:00,105.296,105.84124796231296,9612,-5240.923413752135,-49.16300117024976,-0.005114431213939752,-436.55915262254734,-0.043655915262254735,Trend Bearish,ATR Exit,trend_down,range,13,0.0023457681203464505,-0.015926530922352154,0.0,-0.798352878759678,9612.603848547702,"{'trend': 0.798352878759678, 'mean_reversion': 0.0910593376840532, 'breakout': 0.11058778355626894}",Short
