,All,Long,Short
Initial capital,"10,000.00 USD",,
Open P&L,0.00 USD (0.00%),,
Net P&L,-436.56 USD (-4.37%),-50.98 USD (-0.51%),-385.58 USD (-3.86%)
Gross profit,176.23 USD (1.76%),38.01 USD (0.38%),138.22 USD (1.38%)
Gross loss,612.79 USD (6.13%),88.99 USD (0.89%),523.79 USD (5.24%)
Profit factor,0.288,0.427,0.264
Commission paid,0.00 USD,0.00 USD,0.00 USD
Expected payoff,-16.79 USD,-7.28 USD,-20.29 USD
