timestamp,pair,equity,realized_pnl_usd,unrealized_pnl_usd,position_side,regime,close,quote_to_usd
2026-05-19 13:30:00+00:00,USDJPY,10000.0,0.0,0.0,Flat,volatility_spike,159.0925,0.006285651429199994
2026-05-19 13:30:00+00:00,EURUSD,10000.0,0.0,0.0,Flat,range,1.16084,1.0
2026-05-19 13:30:00+00:00,GBPUSD,10000.0,0.0,0.0,Flat,range,1.33959,1.0
2026-05-19 13:45:00+00:00,GBPUSD,10000.0,0.0,0.0,Flat,range,1.34024,1.0
2026-05-19 13:45:00+00:00,USDJPY,10000.0,0.0,0.0,Flat,volatility_spike,159.05,0.006287331027978622
2026-05-19 14:00:00+00:00,USDJPY,10000.0,0.0,0.0,Flat,volatility_spike,159.154,0.006283222539175893
2026-05-19 14:00:00+00:00,GBPUSD,10000.0,0.0,0.0,Flat,range,1.338865,1.0
2026-05-19 14:15:00+00:00,GBPUSD,10000.0,0.0,0.0,Flat,range,1.33867,1.0
2026-05-19 14:15:00+00:00,USDJPY,10000.0,0.0,0.0,Flat,volatility_spike,159.193,0.006281683239840947
2026-05-19 14:30:00+00:00,GBPUSD,10000.0,0.0,0.0,Flat,range,1.33845,1.0
2026-05-19 14:30:00+00:00,USDJPY,10000.0,0.0,0.0,Flat,volatility_spike,159.1705,0.006282571205091396
2026-05-19 14:45:00+00:00,GBPUSD,10000.0,0.0,0.0,Flat,range,1.339275,1.0
2026-05-19 14:45:00+00:00,USDJPY,10000.0,0.0,0.0,Flat,volatility_spike,159.068,0.006286619558930772
2026-05-19 15:00:00+00:00,GBPUSD,10000.0,0.0,0.0,Flat,range,1.33927,1.0
2026-05-19 15:00:00+00:00,USDJPY,10000.0,0.0,0.0,Flat,volatility_spike,159.106,0.00628511809736905
2026-05-19 15:15:00+00:00,GBPUSD,10000.0,0.0,0.0,Flat,range,1.33946,1.0
2026-05-19 15:15:00+00:00,USDJPY,10000.0,0.0,0.0,Flat,volatility_spike,159.149,0.0062834199398048365
2026-05-19 15:30:00+00:00,USDJPY,10000.0,0.0,0.0,Flat,range,159.143,0.006283656836932821
2026-05-19 15:30:00+00:00,GBPUSD,10000.0,0.0,0.0,Flat,range,1.33953,1.0
2026-05-19 15:45:00+00:00,GBPUSD,10000.0,0.0,0.0,Flat,range,1.339885,1.0
2026-05-19 15:45:00+00:00,USDJPY,10000.0,0.0,0.0,Flat,range,159.1195,0.006284584856035873
2026-05-19 16:00:00+00:00,GBPUSD,10000.0,0.0,0.0,Flat,range,1.339015,1.0
2026-05-19 16:00:00+00:00,USDJPY,10000.0,0.0,0.0,Flat,volatility_spike,158.8715,0.006294395155833488
