timestamp,pair,equity,equity_peak,drawdown_pct,signal_bias,final_signal,risk_approved,risk_reason,risk_amount_usd,regime,trading_enabled,circuit_breaker_active,cooldown_bars_remaining
2026-05-19 13:30:00+00:00,USDJPY,10000.0,10000.0,0.0,0,0.0,False,flat_signal,0.0,volatility_spike,True,False,0
2026-05-19 13:30:00+00:00,EURUSD,10000.0,10000.0,0.0,0,0.0,False,flat_signal,0.0,range,True,False,0
2026-05-19 13:30:00+00:00,GBPUSD,10000.0,10000.0,0.0,0,0.0,False,flat_signal,0.0,range,True,False,0
2026-05-19 13:45:00+00:00,GBPUSD,10000.0,10000.0,0.0,0,0.0,False,flat_signal,0.0,range,True,False,0
2026-05-19 13:45:00+00:00,USDJPY,10000.0,10000.0,0.0,0,0.0,False,flat_signal,0.0,volatility_spike,True,False,0
2026-05-19 14:00:00+00:00,USDJPY,10000.0,10000.0,0.0,0,0.0,False,flat_signal,0.0,volatility_spike,True,False,0
2026-05-19 14:00:00+00:00,GBPUSD,10000.0,10000.0,0.0,0,0.0,False,flat_signal,0.0,range,True,False,0
2026-05-19 14:15:00+00:00,GBPUSD,10000.0,10000.0,0.0,0,0.0,False,flat_signal,0.0,range,True,False,0
2026-05-19 14:15:00+00:00,USDJPY,10000.0,10000.0,0.0,0,0.0,False,flat_signal,0.0,volatility_spike,True,False,0
2026-05-19 14:30:00+00:00,GBPUSD,10000.0,10000.0,0.0,0,0.0,False,flat_signal,0.0,range,True,False,0
2026-05-19 14:30:00+00:00,USDJPY,10000.0,10000.0,0.0,0,0.0,False,flat_signal,0.0,volatility_spike,True,False,0
2026-05-19 14:45:00+00:00,GBPUSD,10000.0,10000.0,0.0,0,0.0,False,flat_signal,0.0,range,True,False,0
2026-05-19 14:45:00+00:00,USDJPY,10000.0,10000.0,0.0,0,0.0,False,flat_signal,0.0,volatility_spike,True,False,0
2026-05-19 15:00:00+00:00,GBPUSD,10000.0,10000.0,0.0,0,0.0,False,flat_signal,0.0,range,True,False,0
2026-05-19 15:00:00+00:00,USDJPY,10000.0,10000.0,0.0,0,0.0,False,flat_signal,0.0,volatility_spike,True,False,0
2026-05-19 15:15:00+00:00,GBPUSD,10000.0,10000.0,0.0,0,0.0,False,flat_signal,0.0,range,True,False,0
2026-05-19 15:15:00+00:00,USDJPY,10000.0,10000.0,0.0,0,0.0,False,flat_signal,0.0,volatility_spike,True,False,0
2026-05-19 15:30:00+00:00,USDJPY,10000.0,10000.0,0.0,0,0.0,False,flat_signal,0.0,range,True,False,0
2026-05-19 15:30:00+00:00,GBPUSD,10000.0,10000.0,0.0,0,0.0,False,flat_signal,0.0,range,True,False,0
2026-05-19 15:45:00+00:00,GBPUSD,10000.0,10000.0,0.0,0,0.0,False,flat_signal,0.0,range,True,False,0
2026-05-19 15:45:00+00:00,USDJPY,10000.0,10000.0,0.0,0,0.0,False,flat_signal,0.0,range,True,False,0
2026-05-19 16:00:00+00:00,GBPUSD,10000.0,10000.0,0.0,0,0.0,False,flat_signal,0.0,range,True,False,0
2026-05-19 16:00:00+00:00,USDJPY,10000.0,10000.0,0.0,0,0.0,False,flat_signal,0.0,volatility_spike,True,False,0
