,All,Long,Short
Initial capital,"10,000.00 USD",,
Open P&L,0.00 USD (0.00%),,
Net P&L,0.00 USD (0.00%),0.00 USD (0.00%),0.00 USD (0.00%)
Gross profit,0.00 USD (0.00%),0.00 USD (0.00%),0.00 USD (0.00%)
Gross loss,0.00 USD (0.00%),0.00 USD (0.00%),0.00 USD (0.00%)
Profit factor,0.000,0.000,0.000
Commission paid,0.00 USD,0.00 USD,0.00 USD
Expected payoff,0.00 USD,0.00 USD,0.00 USD
