timestamp,open,high,low,close,volume
2018-01-01 20:00:00+00:00,1.35065,1.3521,1.34945,1.35096,6558.7
2018-01-02 00:00:00+00:00,1.35095,1.3523,1.35075,1.3517,15425.78
2018-01-02 04:00:00+00:00,1.3517,1.3537,1.35121,1.35342,23299.85
2018-01-02 08:00:00+00:00,1.35341,1.35663,1.3533,1.35504,42701.48
2018-01-02 12:00:00+00:00,1.35505,1.35848,1.35422,1.35785,37862.03
2018-01-02 16:00:00+00:00,1.35783,1.36001,1.35736,1.35961,29289.08
2018-01-02 20:00:00+00:00,1.35961,1.36001,1.35857,1.35939,16812.71
2018-01-03 00:00:00+00:00,1.35938,1.36053,1.35882,1.35943,16574.43
2018-01-03 04:00:00+00:00,1.35943,1.36124,1.35879,1.35944,24438.28
2018-01-03 08:00:00+00:00,1.35948,1.36012,1.35598,1.35622,43372.74
2018-01-03 12:00:00+00:00,1.35621,1.35688,1.34948,1.35145,37432.14
2018-01-03 16:00:00+00:00,1.35145,1.35268,1.35026,1.35169,28136.35
2018-01-03 20:00:00+00:00,1.35168,1.35229,1.3508,1.35107,16378.69
2018-01-04 00:00:00+00:00,1.35106,1.3521,1.35052,1.35178,17130.01
2018-01-04 04:00:00+00:00,1.35178,1.35304,1.35135,1.35179,23514.91
2018-01-04 08:00:00+00:00,1.35182,1.35555,1.3516,1.35552,35404.8
2018-01-04 12:00:00+00:00,1.35552,1.35595,1.3531,1.35521,40357.43
2018-01-04 16:00:00+00:00,1.35523,1.35561,1.35361,1.35546,27303.09
2018-01-04 20:00:00+00:00,1.35546,1.35559,1.35435,1.35513,14411.44
2018-01-05 00:00:00+00:00,1.35513,1.35681,1.3549,1.35653,14680.97
2018-01-05 04:00:00+00:00,1.35653,1.35768,1.35482,1.35482,23621.17
2018-01-05 08:00:00+00:00,1.35484,1.35531,1.35231,1.35476,33556.3
2018-01-05 12:00:00+00:00,1.35477,1.35823,1.35428,1.35622,44930.78
2018-01-05 16:00:00+00:00,1.35621,1.35727,1.35574,1.35656,26626.57
