trade_id,position_type,step_type,timestamp,signal_reason,price,size,net_pnl_usd,net_pnl_pct,cumulative_pnl_usd,cumulative_pnl_pct,favorite_excursion_pct,adverse_excursion_pct
17,Short,Exit,2024-06-12 00:00:00+00:00,ATR Exit,1.284285477308141,7114.0,-97.71418557011395,-0.009998788684635645,-325.11185822383476,-0.03251118582238348,0.002376923379638757,-0.012191570579670224
17,Short,Entry,2024-05-19 00:00:00+00:00,Range Reversion Short,1.27055,7114.0,0.0,0.0,-227.3976726537208,-0.02273976726537208,0.0,0.0
16,Long,Exit,2024-04-22 00:00:00+00:00,ATR Exit,1.2307714579699858,6512.0,-98.71242569945254,-0.009999926875900239,-227.3976726537208,-0.02273976726537208,0.003130191904842178,-0.012857865209120837
16,Long,Entry,2024-04-14 00:00:00+00:00,Range Reversion Long,1.24593,6512.0,0.0,0.0,-128.68524695426825,-0.012868524695426825,0.0,0.0
15,Short,Exit,2023-06-22 00:00:00+00:00,Break-Even Stop,1.2814197965692307,5400.0,8.965098526154414,0.0009090225798317762,-128.68524695426825,-0.012868524695426825,0.010911244817158721,-0.00069364342051942
15,Short,Entry,2023-06-18 00:00:00+00:00,Range Reversion Short,1.28308,5400.0,0.0,0.0,-137.65034548042266,-0.013765034548042265,0.0,0.0
14,Short,Exit,2023-01-13 00:00:00+00:00,Break-Even Stop,1.224661409410016,2928.0,8.9555532474726,0.0009088800422908499,-137.65034548042266,-0.013765034548042265,0.035545564135144744,-0.013781644023067188
14,Short,Entry,2022-12-02 00:00:00+00:00,Range Reversion Short,1.22772,2928.0,0.0,0.0,-146.60589872789527,-0.014660589872789526,0.0,0.0
13,Short,Exit,2022-09-27 00:00:00+00:00,Trailing Stop Exit,1.0655753962688432,3401.0,46.47331728966409,0.00473882866124182,-146.60589872789527,-0.014660589872789526,0.04320633038063818,-0.01273118120158638
13,Short,Entry,2022-09-25 00:00:00+00:00,Channel Breakout Short,1.07924,3401.0,0.0,0.0,-193.07921601755936,-0.019307921601755935,0.0,0.0
12,Long,Exit,2022-09-01 00:00:00+00:00,ATR Exit,1.1587226569737008,4285.0,-99.05781486769206,-0.00999980101705353,-193.07921601755936,-0.019307921601755935,0.006963717592905943,-0.02707642320449471
12,Long,Entry,2022-08-21 00:00:00+00:00,Range Reversion Long,1.18184,4285.0,0.0,0.0,-94.0214011498673,-0.00940214011498673,0.0,0.0
11,Short,Exit,2022-05-17 00:00:00+00:00,ATR Exit,1.2484626993239665,3979.0,-100.04280061006274,-0.009998259709444538,-94.0214011498673,-0.00940214011498673,0.006392440244580272,-0.021711408298728165
11,Short,Entry,2022-05-11 00:00:00+00:00,Channel Breakout Short,1.22332,3979.0,0.0,0.0,6.02139946019544,0.000602139946019544,0.0,0.0
10,Long,Exit,2022-04-26 00:00:00+00:00,ATR Exit,1.2659992068313937,6023.0,-101.07071725451615,-0.009999979824797419,6.02139946019544,0.000602139946019544,0.0001325246729758832,-0.020899920485196215
