,All,Long,Short
Initial capital,"10,000.00 USD",,
Open P&L,0.00 USD (0.00%),,
Net P&L,-325.11 USD (-3.25%),-280.84 USD (-2.81%),-44.27 USD (-0.44%)
Gross profit,370.48 USD (3.70%),18.00 USD (0.18%),352.48 USD (3.52%)
Gross loss,695.59 USD (6.96%),298.84 USD (2.99%),396.75 USD (3.97%)
Profit factor,0.533,0.060,0.888
Commission paid,0.00 USD,0.00 USD,0.00 USD
Expected payoff,-19.12 USD,-56.17 USD,-3.69 USD
