,All,Long,Short
Initial capital,"10,000.00 USD",,
Open P&L,0.00 USD (0.00%),,
Net P&L,-100.59 USD (-1.01%),180.98 USD (1.81%),-281.57 USD (-2.82%)
Gross profit,453.59 USD (4.54%),426.06 USD (4.26%),27.53 USD (0.28%)
Gross loss,554.18 USD (5.54%),245.08 USD (2.45%),309.10 USD (3.09%)
Profit factor,0.818,1.738,0.089
Commission paid,0.00 USD,0.00 USD,0.00 USD
Expected payoff,-5.29 USD,22.62 USD,-25.60 USD
