regime,trade_count,win_rate,net_pnl_usd,avg_pnl_pct,avg_bars_held
range,5,0.4,-82.65510686660687,-0.0016360168236402184,5.2
trend_down,2,0.5,-41.77004483220314,-0.00208131302986932,11.0
trend_up,4,1.0,357.8646693489503,0.009045495884803852,18.25
volatility_spike,8,0.375,-334.02609278929805,-0.004184001866198275,5.875
