,All,Long,Short
Initial capital,"10,000.00 USD",,
Open P&L,0.00 USD (0.00%),,
Net P&L,-267.15 USD (-2.67%),118.74 USD (1.19%),-385.89 USD (-3.86%)
Gross profit,305.30 USD (3.05%),294.88 USD (2.95%),10.43 USD (0.10%)
Gross loss,572.45 USD (5.72%),176.14 USD (1.76%),396.31 USD (3.96%)
Profit factor,0.533,1.674,0.026
Commission paid,0.00 USD,0.00 USD,0.00 USD
Expected payoff,-19.08 USD,14.84 USD,-64.31 USD
