trade_id,position_type,step_type,timestamp,signal_reason,price,size,net_pnl_usd,net_pnl_pct,cumulative_pnl_usd,cumulative_pnl_pct,favorite_excursion_pct,adverse_excursion_pct
21,Short,Exit,2024-11-24 00:00:00+00:00,Trailing Stop Exit,1.0492462873931234,9590.0,163.64100389994726,0.016002183164109764,389.8084100428064,0.03898084100428064,0.0310041170016225,0.0
21,Short,Entry,2024-11-11 00:00:00+00:00,Channel Breakout Short,1.06631,9590.0,0.0,0.0,226.16740614285914,0.022616740614285914,0.0,0.0
20,Short,Exit,2024-10-31 00:00:00+00:00,Trailing Stop Exit,1.088504805637285,9243.0,82.12585149457534,0.00809596954548584,226.16740614285914,0.022616740614285914,0.019382352673160973,-0.0021141071086850415
20,Short,Entry,2024-10-04 00:00:00+00:00,Channel Breakout Short,1.09739,9243.0,0.0,0.0,144.0415546482838,0.01440415546482838,0.0,0.0
19,Long,Exit,2024-08-28 00:00:00+00:00,ATR Exit,1.110702290909941,9132.0,-76.6878794104177,-0.0075031708749543295,144.0415546482838,0.01440415546482838,0.0009382539540702309,-0.007684746671432348
19,Long,Entry,2024-08-23 00:00:00+00:00,Channel Breakout Long,1.1191,9132.0,0.0,0.0,220.7294340587015,0.022072943405870148,0.0,0.0
18,Long,Exit,2024-05-01 00:00:00+00:00,Break-Even Stop,1.0656609099402343,9590.0,10.17412632684726,0.0009964322233427393,220.7294340587015,0.022072943405870148,0.010022543678376815,-0.004226939695660293
18,Long,Entry,2024-04-14 00:00:00+00:00,Range Reversion Long,1.0646,9590.0,0.0,0.0,210.5553077318542,0.02105553077318542,0.0,0.0
17,Long,Exit,2023-12-01 00:00:00+00:00,Trailing Stop Exit,1.0866516830179045,9396.0,128.74101363622992,0.01276962755717754,210.5553077318542,0.02105553077318542,0.026031035928980855,-0.006850272612889666
17,Long,Entry,2023-11-03 00:00:00+00:00,Channel Breakout Long,1.07295,9396.0,0.0,0.0,81.81429409562428,0.008181429409562428,0.0,0.0
16,Short,Exit,2023-08-29 00:00:00+00:00,ATR Exit,1.088621478583379,9426.0,-90.1264971269312,-0.008860304928701712,81.81429409562428,0.008181429409562428,0.0007784553222248549,-0.009387800493021885
16,Short,Entry,2023-08-25 00:00:00+00:00,Trend Bearish,1.07906,9426.0,0.0,0.0,171.94079122255548,0.017194079122255547,0.0,0.0
15,Short,Exit,2023-07-27 00:00:00+00:00,Trailing Stop Exit,1.1143083881336349,8992.0,75.72713390235535,0.007500547875930679,171.94079122255548,0.017194079122255547,0.023291441397308252,-0.004302013841261826
15,Short,Entry,2023-07-16 00:00:00+00:00,Range Reversion Short,1.12273,8992.0,0.0,0.0,96.21365732020013,0.009621365732020012,0.0,0.0
14,Long,Exit,2023-02-01 00:00:00+00:00,ATR Take Profit,1.0993200529106881,5093.0,325.6466894741348,0.033329354432122996,96.21365732020013,0.009621365732020012,0.06557012884158474,-0.012662017809886182
14,Long,Entry,2022-11-11 00:00:00+00:00,Channel Breakout Long,1.03538,5093.0,0.0,0.0,-229.43303215393468,-0.02294330321539347,0.0,0.0
13,Short,Exit,2022-03-09 00:00:00+00:00,ATR Exit,1.1071768201896148,7015.0,-98.67874363014785,-0.009998610483008005,-229.43303215393468,-0.02294330321539347,0.01145355911115998,-0.015003064650401122
13,Short,Entry,2022-03-04 00:00:00+00:00,Channel Breakout Short,1.09311,7015.0,0.0,0.0,-130.7542885237868,-0.013075428852378682,0.0,0.0
12,Short,Exit,2021-11-24 00:00:00+00:00,ATR Take Profit,1.1209428086421223,8390.0,231.70823549259447,0.024042265575620603,-130.7542885237868,-0.013075428852378682,0.02609354321933556,-0.00016542453158730275
