,All,Long,Short
Initial capital,"10,000.00 USD",,
Open P&L,0.00 USD (0.00%),,
Net P&L,389.81 USD (3.90%),216.22 USD (2.16%),173.59 USD (1.74%)
Gross profit,"1,136.51 USD (11.37%)",575.02 USD (5.75%),561.49 USD (5.61%)
Gross loss,746.71 USD (7.47%),358.80 USD (3.59%),387.90 USD (3.88%)
Profit factor,1.522,1.603,1.448
Commission paid,0.00 USD,0.00 USD,0.00 USD
Expected payoff,18.56 USD,19.66 USD,17.36 USD
