trade_id,position_type,step_type,timestamp,signal_reason,price,size,net_pnl_usd,net_pnl_pct,cumulative_pnl_usd,cumulative_pnl_pct,favorite_excursion_pct,adverse_excursion_pct
124,Short,Exit,2024-12-20 12:00:00+00:00,Break-Even Stop,1.2541882300697764,8891.0,7.395266449618051,0.0006627424916425865,1165.9772841637903,0.11659772841637903,0.006007872384503914,-0.0010119360647638143
124,Short,Entry,2024-12-19 12:00:00+00:00,Channel Breakout Short,1.25502,8891.0,0.0,0.0,1158.5820177141723,0.11585820177141723,0.0,0.0
123,Short,Exit,2024-12-19 08:00:00+00:00,ATR Exit,1.2648699500729732,8937.0,-73.28295380216194,-0.006524557941891687,1158.5820177141723,0.11585820177141723,0.0,-0.007949581035594025
123,Short,Entry,2024-12-18 20:00:00+00:00,Channel Breakout Short,1.25667,8937.0,0.0,0.0,1231.8649715163342,0.12318649715163342,0.0,0.0
122,Short,Exit,2024-10-18 04:00:00+00:00,Trailing Stop Exit,1.3051836366400706,8525.0,51.971497643397775,0.004648657678613267,1231.8649715163342,0.12318649715163342,0.010615581721676478,-0.0047205783661764976
122,Short,Entry,2024-10-03 08:00:00+00:00,Channel Breakout Short,1.31128,8525.0,0.0,0.0,1179.8934738729365,0.11798934738729365,0.0,0.0
121,Long,Exit,2024-10-03 04:00:00+00:00,ATR Exit,1.3195580136149356,8472.0,-66.4373086542646,-0.005907465282586615,1179.8934738729365,0.11798934738729365,0.0023429260207926536,-0.009492240470091867
121,Long,Entry,2024-10-01 20:00:00+00:00,Range Reversion Long,1.3274,8472.0,0.0,0.0,1246.330782527201,0.12463307825272012,0.0,0.0
120,Short,Exit,2024-08-14 12:00:00+00:00,Break-Even Stop,1.2859302691556147,8737.0,5.152478387395288,0.0004583575002540238,1246.330782527201,0.12463307825272012,0.003762086870006045,-0.0002254142959300294
120,Short,Entry,2024-08-13 20:00:00+00:00,Range Reversion Short,1.28652,8737.0,0.0,0.0,1241.1783041398057,0.12411783041398057,0.0,0.0
119,Short,Exit,2024-08-12 12:00:00+00:00,ATR Exit,1.2784743040038866,8921.0,-82.20080601867204,-0.007259388316772659,1241.1783041398057,0.12411783041398057,0.0021902525881222165,-0.007957392496415232
119,Short,Entry,2024-08-06 08:00:00+00:00,Channel Breakout Short,1.26926,8921.0,0.0,0.0,1323.3791101584777,0.13233791101584777,0.0,0.0
118,Short,Exit,2024-08-02 12:00:00+00:00,ATR Exit,1.281157433885058,8935.0,-62.25402176299367,-0.005467769867663698,1323.3791101584777,0.13233791101584777,0.002731146846231667,-0.007699008782049849
118,Short,Entry,2024-08-01 16:00:00+00:00,Channel Breakout Short,1.27419,8935.0,0.0,0.0,1385.6331319214714,0.13856331319214715,0.0,0.0
117,Short,Exit,2024-07-29 12:00:00+00:00,Break-Even Stop,1.284776968298231,8855.0,4.277245719164485,0.0003758116134783043,1385.6331319214714,0.13856331319214715,0.0035946034265440987,-0.002738745467843057
117,Short,Entry,2024-07-25 16:00:00+00:00,Channel Breakout Short,1.28526,8855.0,0.0,0.0,1381.355886202307,0.1381355886202307,0.0,0.0
116,Long,Exit,2024-07-18 04:00:00+00:00,Trailing Stop Exit,1.2996160587443986,8757.0,19.493596424697824,0.001715704338560451,1381.355886202307,0.1381355886202307,0.0054262789138192335,-0.002767093934745899
116,Long,Entry,2024-07-15 00:00:00+00:00,Trend Bullish,1.29739,8757.0,0.0,0.0,1361.862289777609,0.1361862289777609,0.0,0.0
