timestamp,equity,equity_peak,drawdown_pct,trading_enabled,circuit_breaker_active,cooldown_bars_remaining,current_open_risk_ratio,signal_bias,final_signal,session_allowed,risk_approved,risk_reason,risk_amount_usd,atr,atr_avg_100,bar_range,bar_range_avg_20,regime
2018-01-18 20:00:00+00:00,10000.0,10000.0,0.0,True,False,0,0.0,0,0.0,True,False,flat_signal,0.0,0.0044962283940221375,0.0032691340547772742,0.0023300000000001653,0.00444150000000002,range
2018-01-19 00:00:00+00:00,10000.0,10000.0,0.0,True,False,0,0.0,0,0.0,True,False,flat_signal,0.0,0.004433640651591997,0.0032860109619774875,0.0036200000000001786,0.0043600000000000305,range
2018-01-19 04:00:00+00:00,10000.0,10000.0,0.0,True,False,0,0.0,0,0.0,True,False,flat_signal,0.0,0.004318380605049715,0.0033007590997356623,0.0028200000000000447,0.004412500000000041,range
2018-01-19 08:00:00+00:00,10000.0,10000.0,0.0,True,False,0,0.0,0,0.0,True,False,flat_signal,0.0,0.004579210561831881,0.003318765458356736,0.007970000000000033,0.004499500000000045,range
2018-01-19 12:00:00+00:00,10000.0,10000.0,0.0,True,False,0,0.0,0,0.0,True,False,flat_signal,0.0,0.004609981235986759,0.0033366990108238195,0.005010000000000181,0.0047850000000000505,range
2018-01-19 16:00:00+00:00,10000.0,10000.0,0.0,True,False,0,0.0,0,0.0,True,False,flat_signal,0.0,0.004544982576273422,0.003353250840487513,0.0037000000000000366,0.0048990000000000535,range
2018-01-19 20:00:00+00:00,10000.0,10000.0,0.0,True,False,0,0.0,0,0.0,True,False,flat_signal,0.0,0.004433198106539605,0.0033678447224611894,0.0029799999999999827,0.004815500000000051,range
2018-01-21 20:00:00+00:00,10000.0,10000.0,0.0,True,False,0,0.0,0,0.0,True,False,flat_signal,0.0,0.004450826813215349,0.003382284483671245,0.0020599999999999508,0.004800000000000049,range
2018-01-22 00:00:00+00:00,10000.0,10000.0,0.0,True,False,0,0.0,0,0.0,True,False,flat_signal,0.0,0.004371482040842817,0.0033953002410024497,0.0033399999999998986,0.00472750000000004,range
2018-01-22 04:00:00+00:00,10000.0,10000.0,0.0,True,False,0,0.0,0,0.0,True,False,flat_signal,0.0,0.004333519037925478,0.0034074849007027486,0.0038400000000000656,0.004825000000000035,range
2018-01-22 08:00:00+00:00,10000.0,10000.0,0.0,True,False,0,0.0,0,0.0,True,False,flat_signal,0.0,0.004235410535216521,0.0034180993319144638,0.0029600000000000737,0.004764500000000038,range
2018-01-22 12:00:00+00:00,10000.0,10000.0,0.0,True,False,0,0.0,0,0.0,True,False,flat_signal,0.0,0.004542881211272483,0.0034323370772227934,0.008539999999999992,0.004725000000000046,range
2018-01-22 16:00:00+00:00,10000.0,10000.0,0.0,True,False,0,0.0,0,0.0,True,False,flat_signal,0.0,0.004633389696181583,0.0034473502349597783,0.005809999999999871,0.004912000000000039,range
2018-01-22 20:00:00+00:00,10000.0,10000.0,0.0,True,False,0,0.0,0,0.0,True,False,flat_signal,0.0,0.00438100471788289,0.0034588768335143847,0.0010999999999998789,0.004893500000000028,range
2018-01-23 00:00:00+00:00,10000.0,10000.0,0.0,True,False,0,0.0,0,0.0,True,False,flat_signal,0.0,0.0042445043808912696,0.003468457657262883,0.0024700000000001943,0.004344500000000018,range
2018-01-23 04:00:00+00:00,10000.0,10000.0,0.0,True,False,0,0.0,0,0.0,True,False,flat_signal,0.0,0.004191325496541898,0.0034771669083385336,0.0035000000000000586,0.004087500000000033,range
2018-01-23 08:00:00+00:00,10000.0,10000.0,0.0,True,False,0,0.0,0,0.0,True,False,flat_signal,0.0,0.004142659389646041,0.0034850894378779087,0.003509999999999902,0.00409550000000003,range
