,All,Long,Short
Initial capital,"10,000.00 USD",,
Open P&L,0.00 USD (0.00%),,
Net P&L,"1,165.98 USD (11.66%)",47.20 USD (0.47%),"1,118.78 USD (11.19%)"
Gross profit,"4,109.75 USD (41.10%)","1,460.57 USD (14.61%)","2,649.19 USD (26.49%)"
Gross loss,"2,943.78 USD (29.44%)","1,413.37 USD (14.13%)","1,530.41 USD (15.30%)"
Profit factor,1.396,1.033,1.731
Commission paid,0.00 USD,0.00 USD,0.00 USD
Expected payoff,9.40 USD,0.84 USD,16.45 USD
