,All,Long,Short
Total trades,124,56,68
Total open trades,0,0,0
Winning trades,81,34,47
Losing trades,43,22,21
Percent profitable,65.32%,60.71%,69.12%
Avg P&L,9.40 USD (0.09%),0.84 USD (0.01%),16.45 USD (0.16%)
Avg winning trade,50.74 USD (0.48%),42.96 USD (0.41%),56.37 USD (0.54%)
Avg losing trade,-68.46 USD (-0.65%),-64.24 USD (-0.61%),-72.88 USD (-0.69%)
Ratio avg win / avg loss,0.741,0.669,0.773
Largest winning trade,268.74 USD (2.50%),234.07 USD (2.19%),268.74 USD (2.50%)
Largest losing trade,-110.18 USD (-1.00%),-110.10 USD (-1.00%),-110.18 USD (-1.00%)
Average number of bars in trades,13.37,13.21,13.50
